tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10406822634,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,Change Wireless Channel Mode
1-10407333624,null,Customer,Slow streaming,Slow streaming,null,Other_Fault,null,Advise Customer
1-10407889932,null,Customer,No Dial Tone,No Dial Tone,null,Customer_Behaviour,null,Advise Customer
1-10407906915,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10407922815,null,Third Party Damage,Line Disconnect,Line Disconnect,null,Drop/Int. Fiber Damage by pest,null,3rd Party_Drop/Int.FiberRestrd
1-10407923040,null,Customer,No Dial Tone,No Dial Tone,null,Clear While Localising,null,Normalise_Power AdptrConnct.
1-10407930825,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10407958335,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10408019392,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10408079597,null,BTU,Intermittent,Intermittent,null,VDSL_Modem_Hang,null,VDSL_Reset
1-10408226034,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Normalise_CPE Connection
1-10408338526,null,Access Network,Line Disconnect,Line Disconnect,null,MSAN_VDSL_Port_Inactive,null,MSAN POTS card reset
1-10408398586,null,Access Network,ME_Customer CPE prob,ME_Customer CPE prob,null,EQMT_VLAN problem,null,VLAN changed
1-10408434129,null,Customer,Cannot call to Toll Free,Cannot call to Toll Free,null,Other_Fault,null,Advise Customer
1-10408560953,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
1-10408561279,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10408599428,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Low Signal,null,D/S Fiber cable restored
1-10408610131,null,Customer,Line Disconnect,Line Disconnect,null,Cust_PhoneWallSocketFaulty,null,Advise Customer
1-10408722534,null,TM_CPE,Intermittent,Intermittent,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10408745053,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Cable Restored
1-10408778671,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10408786065,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10408788345,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10408811419,null,Customer,Wireless frequent disconn.,Wireless frequent disconn.,null,Clear While Localising,null,Advise Customer
1-10408823764,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Reset
1-10408838093,null,Customer,Router down,Router down,null,Other_Fault,null,Others
1-10408903533,null,LocalAccess,Line Disconnect,Line Disconnect,null,FDP_Patching,null,D/S Pair Changed
1-10408929612,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Config_Changed
1-10408969783,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Core Break,null,D/S Fiber cable replaced
1-10409286605,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10409336065,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10409346295,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Drop Fiber Core Break,null,TM_FTB Drop Fiber repaired
1-10409572410,null,Customer,Slow Browsing,Slow Browsing,null,Customer_Internal Wiring,null,Advise Customer
1-10409895046,null,Customer,Intermittent,Intermittent,null,Customer_Internal Wiring,null,Advise Customer
1-10409968536,null,TM_CPE,Line down,Line down,null,TM_FTB FASC Connector Faulty,null,TM_FTB FASC connector replaced
1-10410357200,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Drop Fiber Core Break,null,TM_FTB Drop Fiber replaced
1-10410361744,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise TMUC
1-10410498584,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10410499999,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Fiber Patch Cord,null,Cable_Reconnected
1-10410516784,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10411012317,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Reset
1-10411048625,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10411083393,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE Connector RJ45,null,Cable_Reconnected
1-10411124961,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_VLAN problem,null,VLAN changed
1-10411228726,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10411368997,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Replaced
1-10411386636,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10411443808,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10411481005,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10411497085,null,TM_CPE,Slow throughput (local),Slow throughput (local),null,TM_FTB FASC Connector Faulty,null,Connector_Replaced
1-10411570591,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU_Reset
1-10411576978,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_FTB Drop Fiber Core Break,null,TM_FTB Drop Fiber repaired
1-10411589815,null,Customer,Line Disconnect,Line Disconnect,null,Customer Defer Appointment,null,Advise Customer
1-10411619852,null,BTU,Intermittent,Intermittent,null,VDSL Modem Faulty,null,VDSL_Reset
1-10411619971,null,Customer,No Dial Tone,No Dial Tone,null,Clear While Localising,null,Advise TMUC
1-10411620061,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Reset
1-10411711565,null,Customer,Cannot browse all website,Cannot browse all website,null,Customer_Behaviour,null,Advise Customer
1-10411759906,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10411779163,null,Customer,Line Disconnect,Line Disconnect,null,Customer_IW Internal Fiber,null,Advise Customer
1-10411795395,null,LocalAccess,Line Disconnect,Line Disconnect,null,Cabinet/SDF Jumper Faulty,null,D/S Pair Changed
1-10411807398,null,TM_CPE,No Dial Tone,No Dial Tone,null,TM_CPE_IW_RJ11 Faulty,null,TM_CPE_IW_RJ11 Replaced
1-10411834413,null,Customer,Call Failure - incoming,Call Failure - incoming,null,Other_Fault,null,Others
1-10411867415,null,LocalAccess,Line Disconnect,Line Disconnect,null,D/S Pair Faulty,null,D/S Pair Changed
1-10411872385,null,Access Network,Jerks/Pixel_All LiveTV,Jerks/Pixel_All LiveTV,null,EQMT_GE port faulty,null,Port Reset
1-10411892775,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10411955851,null,BTU,No Dial Tone,No Dial Tone,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10412061631,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Faulty,null,PG_Config_Changed
1-10412098945,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10412180215,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10412204967,null,TM_CPE,Cannot browse all website,Cannot browse all website,null,TM_CPE_PG Hang,null,PG_Reset
1-10412223483,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10412416705,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Others
1-10412515830,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Faulty,null,ONU&PG_Replaced
1-10412516021,null,Customer,Line Disconnect,Line Disconnect,null,Other_Fault,null,Advise Customer
1-10412546010,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10412566569,null,Customer,Line down,Line down,null,Customer_Cancel TT,null,Advise Customer
1-10412599746,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10412599819,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10412605819,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10412647013,null,Customer,Line Disconnect,Line Disconnect,null,PG_Faulty,null,Customer Abroad
1-10412653935,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise TMUC
1-10412657023,null,Major Outage,Line Disconnect,Line Disconnect,null,Known_NTT Fault,null,NTT_Resolved
1-10412738764,null,Access Network,Error_Code_Others,Error_Code_Others,null,MSAN IGMP setting prob,null,MSAN mcast setting reconfig
