"","created_by_factor","category_factor","symptom_error_code_factor","product_factor","sub_product_factor","package_name_factor","cause_category_factor","cause_code_factor","resolution_code_factor","closure_category_factor","resolution_team_factor","service_affected_factor","btu_type_factor","owner_factor","group_owner_factor","btu_platform_factor","dp_location_factor","closed_by_factor","fdp_device_name_factor","fdp_site_name_factor","olt_site_name_factor","exchange_factor","zone_name_factor","district_factor","state_factor","region_factor"
"1",54,1,11,4,8,6,8,23,19,4,9,2,3,32,1,3,2,32,67,67,25,2,1,1,1,1
"2",51,1,11,4,2,7,3,4,1,4,13,1,3,57,2,3,2,57,65,65,23,2,1,1,1,1
"3",28,2,16,4,9,7,1,11,4,4,6,1,3,33,1,3,2,33,72,72,29,2,1,1,1,1
"4",3,1,11,4,9,7,3,17,17,3,6,3,2,7,1,2,5,7,41,41,18,2,1,1,1,1
"5",11,2,16,4,9,7,1,11,20,4,9,1,3,18,1,3,1,18,37,37,17,1,1,1,1,1
"6",3,1,11,4,9,7,5,12,11,4,9,3,2,23,1,2,5,24,41,41,18,2,1,1,1,1
"7",62,1,11,4,9,7,5,10,10,4,4,4,2,4,1,2,3,4,46,46,18,2,1,1,1,1
"8",46,2,18,1,3,1,3,4,1,3,12,1,2,53,2,2,5,53,58,58,18,2,1,1,1,1
"9",26,1,11,3,16,7,8,24,24,4,10,6,2,25,1,2,3,26,15,15,1,1,1,1,1,1
"10",56,1,13,5,15,7,8,21,8,4,8,8,2,1,1,2,3,1,47,47,18,2,1,1,1,1
"11",47,2,17,4,10,8,3,4,1,4,13,1,2,54,2,2,3,54,2,2,1,1,1,1,1,1
"12",50,1,20,1,2,2,3,4,1,4,12,1,3,56,2,3,2,56,80,80,37,2,1,1,1,1
"13",36,1,11,4,1,7,5,9,22,4,3,4,2,9,1,2,3,9,46,46,18,2,1,1,1,1
"14",35,2,9,4,2,7,1,11,12,4,10,2,3,24,4,3,1,25,36,36,16,1,1,1,1,1
"15",18,1,11,4,9,7,3,4,14,4,10,8,2,4,1,2,3,4,18,18,1,1,1,1,1,1
"16",46,1,11,1,3,1,3,4,1,3,12,1,1,53,2,1,3,53,40,40,20,2,1,1,1,1
"17",1,1,4,5,15,7,8,21,8,4,10,8,3,12,4,3,2,12,29,29,9,1,1,1,1,1
"18",22,1,11,4,7,5,2,28,29,4,9,4,3,36,1,3,1,36,34,34,14,1,1,1,1,1
"19",46,1,3,5,15,7,3,4,1,3,12,8,2,53,2,2,3,53,57,57,18,2,1,1,1,1
"20",51,1,13,5,13,7,5,12,11,1,10,8,2,28,3,2,3,21,4,4,1,1,1,1,1,1
"21",19,1,13,5,17,7,3,5,1,4,10,8,2,19,1,2,3,19,9,9,1,1,1,1,1,1
