,trouble_ticket_id,Cause_code,acc,account,acct,acknowledge,active,address,addressing,advice,advise,advised
1,1-WTJASD,Clear While Localising,0,1,1,0,1,3,1,1,0,0
2,1-WTJ924,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
3,1-WTJPNC,Drop Fiber Damage,1,2,1,0,1,3,1,0,0,0
4,1-WTGIQE,TM_CPE_PG Config Problem,0,1,2,0,1,4,1,3,0,0
5,1-WTI5UQ,VDSL Modem Faulty,1,2,1,0,1,2,1,2,0,1
6,1-WTDQ9Q,AccessNetwork_Failure,0,4,1,0,1,2,1,1,0,1
7,1-WTFZ2N,Customer_Behaviour,0,4,1,0,1,2,1,1,0,0
8,1-WTCXHB,TM_CPE_PG Config Problem,0,2,1,0,1,2,1,1,0,2
9,1-WTCNKV,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
10,1-WTCH37,Customer_Behaviour,0,1,1,0,0,2,0,2,0,0
11,1-WTAWUC,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
12,1-WTCRT6,TM_FTB FASC Connector Faulty,0,1,1,0,1,2,1,3,0,0
13,1-WT97CR,Clear While Localising,1,2,1,0,1,3,1,0,0,0
14,1-WT8XU8,STB_Faulty,0,1,2,0,1,4,1,3,0,0
15,1-WT8NSR,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
16,1-WT9WA8,Customer_Behaviour,0,4,1,0,1,2,1,1,0,1
17,1-WT8EOX,VDSL Modem Faulty,0,4,1,0,1,2,1,1,0,0
18,1-WT76H0,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
19,1-WT81V1,Cust_PC Issue/Faulty,0,3,1,1,1,2,1,3,3,0
20,1-WT5791,Customer_Behaviour,0,1,1,0,0,2,0,2,0,0
21,1-WSX2GO,TM_CPE_PG Config Problem,0,1,1,0,1,3,1,1,0,0
22,1-WSYWHF,TM_CPE_PG Config Problem,0,1,1,0,1,2,1,3,0,0
23,1-WSUMSK,Other_Fault,1,2,1,0,1,3,1,0,0,0
24,1-WSXF7V,Clear While Localising,0,1,2,0,1,4,1,3,0,0
25,1-WSW6ES,Clear While Localising,1,2,1,0,1,2,1,2,0,1
26,1-WSVBBV,Caused By NTT,0,4,1,0,1,2,1,1,0,1
27,1-WSWYYC,Customer_Behaviour,0,4,1,0,1,2,1,1,0,0
28,1-WSRFGI,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
29,1-WSR6BQ,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
30,1-WSQN4N,Customer_Behaviour,0,1,1,0,0,2,0,2,0,0
31,1-WSNJRR,EQMT_GE port faulty,0,1,1,0,1,3,1,1,0,0
32,1-WSMV6J,Caused By NTT,0,1,1,0,1,2,1,3,0,0
33,1-WSM9VP,Customer_Behaviour,1,2,1,0,1,3,1,0,0,0
34,1-WSK8ES,EQMT_GE port faulty,0,1,2,0,1,4,1,3,0,0
